ID,Name,Score,Explanation
body1,弱すぎる鎧,1,攻撃力とても低い
body2,頼りにならない鎧,2,攻撃力低い
body3,普通の鎧,3,攻撃力普通
body4,頼りになる鎧,4,攻撃力高い
body5,強い鎧,5,攻撃力とても高い
belt1,へなちょこベルト,1,防御力とても低い
belt2,弱そうなベルト,2,防御力低い
belt3,普通のベルト,3,防御力普通
belt4,頼れるベルト,4,防御力高い　
belt5,非常に硬いベルト,5,防御力とても高い
bracers1,不親切なブレスレット,1,不親切
bracers2,優しさのないブレスレット,2,あまり優しくない
bracers3,普通のブレスレット,3,ほどほどに優しくなる
bracers4,優しさのブレスレット,4,少し優しくなれる
bracers5,聖母のようなブレスレット,5,かなり優しくなれる
boots1,無表情のブーツ,1,ネタが通用しない
boots2,面白くないブーツ,2,あまり面白くない
boots3,普通のブーツ,3,おもしろくなる
boots4,笑えるブーツ,4,ギャグを言うようになる
boots5,大爆笑のブーツ,5,ユーモアにあふれる
